Immunohistochemical	O
staining	O
was	O
positive	O
for	O
S	B
-	I
100	I
in	O
all	O
9	O
cases	O
stained	O
,	O
positive	O
for	O
HMB	B
-	I
45	I
in	O
9	O
(	O
90	O
%	O
)	O
of	O
10	O
,	O
and	O
negative	O
for	O
cytokeratin	B
in	O
all	O
9	O
cases	O
in	O
which	O
myxoid	O
melanoma	O
remained	O
in	O
the	O
block	O
after	O
previous	O
sections	O
.	O

Chloramphenicol	B
acetyltransferase	I
assays	O
examining	O
the	O
ability	O
of	O
IE86	B
to	O
repress	O
activity	O
from	O
the	O
HCMV	O
major	O
IE	B
promoter	I
or	O
activate	O
the	O
HCMV	B
early	I
promoter	I
for	O
the	O
2	O
.	O
2	O
-	O
kb	O
class	O
of	O
RNAs	O
demonstrated	O
the	O
functional	O
integrity	O
of	O
the	O
IE86	B
protein	I
.	O
